study_label,sample_id,n,r,effect size_fisher_z,standard error,sampling_variance,lower_95CI_fisher_z,upper_95CI_fisher_z,design_group
Bakker et al. (2016),Bakker_2016,206,-0.07,-0.070114671,0.070186241,0.004926108,-0.207679702,0.067450361,cross_sectional
Dubbelt et al. (Study 1) (2019),Dubbelt_2019_S1,111,-0.14,-0.140925576,0.096225045,0.009259259,-0.329526664,0.047675512,temporal_design
Dubbelt et al. (Study 2) (2019),Dubbelt_2019_S2,119,-0.17,-0.171666664,0.092847669,0.00862069,-0.353648095,0.010314768,temporal_design
Moreira et al. (2022),Moreira_2022,453,-0.01,-0.010000333,0.047140452,0.002222222,-0.102395619,0.082394953,cross_sectional
Muttar et al. (2024),Muttar_2024,276,0.35,0.365443754,0.060522753,0.003663004,0.246819158,0.484068351,cross_sectional
Petrou et al. (2012),Petrou_2012,95,0.03,0.030009005,0.104257207,0.010869565,-0.174335121,0.234353131,temporal_design
Petrou et al. (2018),Petrou_2018,368,-0.14,-0.140925576,0.052342392,0.002739726,-0.243516665,-0.038334487,temporal_design
Sakuraya et al. (2017),Sakuraya_2017,894,0,0,0.033501261,0.001122334,-0.065662471,0.065662471,cross_sectional
Tims et al. (2013),Tims_2013,288,0.05,0.050041729,0.059234888,0.003508772,-0.066058651,0.166142109,temporal_design
Tims et al. (2015),Tims_2015,288,-0.06,-0.060072156,0.059234888,0.003508772,-0.176172536,0.056028224,temporal_design
