study_label,sample_id,n,r,effect size_fisher_z,standard error,sampling_variance,lower_95CI_fisher_z,upper_95CI_fisher_z,design_group
Bakker et al. (2012),Bakker_2012,190,0.65,0.775298706,0.073127242,0.005347594,0.631969311,0.918628101,cross_sectional
Bakker et al. (2016),Bakker_2016,206,0.49,0.536060337,0.070186241,0.004926108,0.398495305,0.673625368,cross_sectional
Dubbelt et al. (Study 1) (2019),Dubbelt_2019_S1,111,0.04,0.040021354,0.096225045,0.009259259,-0.148579734,0.228622442,temporal_design
Dubbelt et al. (Study 2) (2019),Dubbelt_2019_S2,119,0.12,0.120581028,0.092847669,0.00862069,-0.061400403,0.30256246,temporal_design
Moreira et al. (2022),Moreira_2022,453,0.47,0.510070337,0.047140452,0.002222222,0.417675051,0.602465623,cross_sectional
Muttar et al. (2024),Muttar_2024,276,0.12,0.120581028,0.060522753,0.003663004,0.001956432,0.239205625,cross_sectional
Petrou et al. (2012),Petrou_2012,95,0.4,0.42364893,0.104257207,0.010869565,0.219304804,0.627993056,temporal_design
Sakuraya et al. (2017),Sakuraya_2017,894,0.54,0.604155603,0.033501261,0.001122334,0.538493132,0.669818074,cross_sectional
Tims et al. (2013),Tims_2013,288,0.1,0.100335348,0.059234888,0.003508772,-0.015765032,0.216435728,temporal_design
,,,,,,,,,
